127.0.0.1 - - [11/Jul/2024:09:09:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:41 +0900] "GET /shoppingmall/ HTTP/1.1" 200 32021
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:42 +0900] "GET /shoppingmall/resources/css/header_footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:42 +0900] "GET /shoppingmall/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:42 +0900] "GET /shoppingmall/resources/slick/slick-theme.css HTTP/1.1" 404 1556
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:42 +0900] "GET /shoppingmall/resources/slick/slick.css HTTP/1.1" 404 1556
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:42 +0900] "GET /shoppingmall/resources/slick/slick.min.js HTTP/1.1" 404 1556
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:42 +0900] "GET /shoppingmall/resources/images/icon_serch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:42 +0900] "GET /shoppingmall/resources/images/logo_main.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:42 +0900] "GET /shoppingmall/resources/images/icon-login.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:42 +0900] "GET /shoppingmall/resources/images/icon-sign-in.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:42 +0900] "GET /shoppingmall/resources/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:42 +0900] "GET /shoppingmall/resources/images/icon-person2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:42 +0900] "GET /shoppingmall/resources/images/icon-cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:42 +0900] "GET /shoppingmall/resources/images/icons-gift-cupon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:42 +0900] "GET /shoppingmall/resources/images/mainbanner/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:55:42 +0900] "GET /shoppingmall/resources/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
